Row.names,RNAINO_R1.x,RNAINO_R2.x,RNAINO_R3.x,RNAINO_R4.x,RNAINO_R5.x,RNAISO_R1.x,RNAINO_R1.y,RNAINO_R2.y,RNAINO_R3.y,RNAINO_R4.y,RNAINO_R5.y,RNAISO_R1.y,logFC,logCPM,PValue,FDR
transcript:CTRG_04833-t43_1,93,50,160,266,215,987,9.060276853,5.09645292,19.22802138,15.10704763,14.04677445,67.35915794,2.64,4.5,4.22e-06,0.000891
transcript:CTRG_04919-t43_1,1290,1257,1110,6165,7216,19959,125.674808,128.1248264,133.3943983,350.1313859,471.4489509,1362.129112,2.82,8.75,2.38e-06,0.000586
transcript:CTRG_04920-t43_1,1198,1106,993,3675,3120,4796,116.7119534,112.7335386,119.3339077,208.7157896,203.8415641,327.3095456,1.34,7.5,0.000917,0.0357
transcript:CTRG_05008-t43_1,6362,5995,5653,30415,24610,84014,619.8008746,611.0647051,679.3500304,1727.37163,1607.865671,5733.649742,2.74,10.9,3.93e-06,0.000862
transcript:CTRG_05009-t43_1,114,124,120,709,595,1105,11.10614582,12.63920324,14.42101604,40.26652921,38.87363162,75.41222849,2.0,4.98,0.000294,0.0174
transcript:CTRG_05010-t43_1,7,15,16,72,71,185,0.681956322,1.528935876,1.922802138,4.089125675,4.638702261,12.62557672,2.6,2.14,0.000148,0.0112
transcript:CTRG_05012-t43_1,0,2,0,0,0,22,0.0,0.203858117,0.0,0.0,0.0,1.501419934,5.24,-1.09,0.000207,0.0144
transcript:CTRG_05017-t43_1,11,8,17,41,65,363,1.071645649,0.815432467,2.042977272,2.328529898,4.246699253,24.77342891,3.84,2.66,1.46e-10,1.43e-07
transcript:CTRG_05162-t43_1,1175,1129,693,4560,4007,8824,114.4712398,115.0779069,83.2813676,258.9779594,261.7926755,602.2058862,2.13,7.9,4.15e-05,0.00446
transcript:CTRG_05163-t43_1,235,196,123,852,539,1635,22.89424796,19.97809545,14.78154144,48.38798715,35.21493688,111.5827996,2.22,5.42,5.21e-06,0.00105
transcript:CTRG_05244-t43_1,486,491,326,1665,1224,2025,47.34725323,50.04716767,39.17709356,94.56103122,79.96861363,138.1988803,1.39,6.22,0.00139,0.0461
transcript:CTRG_05305-t43_1,1639,1635,1416,6212,5790,11951,159.6752017,166.6540105,170.1679892,352.8006763,378.2829027,815.6122558,2.0,8.41,3.12e-05,0.00364
transcript:CTRG_05394-t43_1,85,84,77,297,325,461,8.280898199,8.562040905,9.253485289,16.86764341,21.23349627,31.46157225,1.56,3.99,0.00067,0.0289
