Row.names	RNAINO_R1.x	RNAINO_R2.x	RNAINO_R3.x	RNAINO_R4.x	RNAINO_R5.x	RNAISO_R1.x	RNAINO_R1.y	RNAINO_R2.y	RNAINO_R3.y	RNAINO_R4.y	RNAINO_R5.y	RNAISO_R1.y	logFC	logCPM	PValue	FDR
transcript:CTRG_00979-t43_1	578	575	610	3868	4086	1784	56.31010775	58.60920858	73.30683151	219.6769182	266.9540484	121.7515074	2.07E-01	6.91E+00	6.95E-01	8.83E-01
transcript:CTRG_00980-t43_1	1	0	1	3	15	14	0.097422332	0	0.120175134	0.170380236	0.98000752	0.955449049	NA	NA	NA	NA
transcript:CTRG_00981-t43_1	137	176	226	840	1180	312	13.34685945	17.93951428	27.1595802	47.7064662	77.0939249	21.29286452	-4.39E-01	4.95E+00	6.31E-01	8.42E-01
transcript:CTRG_00982-t43_1	18	19	27	40	116	99	1.753601972	1.936652109	3.244728608	2.271736486	7.578724821	6.756389702	1.30E+00	1.98E+00	5.50E-02	3.12E-01
transcript:CTRG_00983-t43_1	340	282	250	1062	1024	415	33.1235928	28.74399447	30.04378341	60.3146037	66.90184669	28.32223966	-3.75E-01	5.30E+00	4.74E-01	7.56E-01
transcript:CTRG_00984-t43_1	238	184	211	930	691	370	23.18651496	18.75494674	25.3569532	52.8178733	45.14567975	25.25115343	-1.30E-01	4.92E+00	8.66E-01	9.61E-01
transcript:CTRG_00985-t43_1	1222	1022	788	3046	2606	2331	119.0500894	104.1714977	94.6980053	172.9927334	170.2599731	159.0822666	4.80E-01	7.08E+00	2.42E-01	5.80E-01
transcript:CTRG_00986-t43_1	8	14	26	42	69	71	0.779378654	1.427006818	3.124553474	2.38532331	4.508034592	4.845491604	1.26E+00	1.54E+00	7.41E-02	3.52E-01
transcript:CTRG_00987-t43_1	714	690	686	2151	1915	2084	69.55954487	70.33105029	82.44014167	122.1626295	125.1142934	142.2254155	8.26E-01	6.65E+00	2.67E-02	2.23E-01
transcript:CTRG_00988-t43_1	456	430	398	1530	1294	1715	44.42458328	43.82949511	47.82970318	86.89392058	84.54198205	117.0425085	1.17E+00	6.13E+00	3.13E-03	7.56E-02
